DATE;Time;Dollar;Euro
03.03.2026;03:13:20;77,17;90,73
03.03.2026;03:15:10;77,17;90,73
03.03.2026;03:15:47;77,17;90,73
03.03.2026;03:22:59;77,17;90,73
03.03.2026;03:26:01;77,17;90,73
03.03.2026;03:29:05;77,17;90,73
03.03.2026;09:09:58;77,17;90,73
04.03.2026;09:04:55;77,61;90,31
05.03.2026;09:08:55;77,8;90,75
05.03.2026;17:21:28;77,8;90,75
28.03.2026;12:51:18;81,14;93,42
14.04.2026;10:22:37;Не найден;Не найден
14.04.2026;10:23:16;Не найден;Не найден
14.04.2026;10:26:23;Не найден;Не найден
14.04.2026;10:32:40;Не найден;Не найден
14.04.2026;10:34:12;Не найден;Не найден
14.04.2026;10:35:33;Не найден;Не найден
14.04.2026;10:38:15;76,25;89,14
